"Type","MPG","Date","Time","Vehicle","Odometer","Filled Up","Cost/Gallon","Gallons","Total Cost","Octane","Gas Brand","Location","Tags","Payment Type","Tire Pressure","Notes","Total Cost","Services"
"Gas","0.0","2010-01-19","10:38 PM","4 Runner","41538","Full","$2.729","14.755","$40.27","87","Kwik Trip","Decorah","","Debit","0.0","","$40.27",""
"Gas","17.0","2010-01-11","1:40 PM","4 Runner","41287","Full","$2.699","17.705","$47.79","87","Kwik Trip","Decorah","","Debit","0.0","","$47.79",""
"Gas","16.9","2009-12-30","1:39 PM","4 Runner","40988","Full","$2.659","17.259","$45.89","87","Kwik Trip","","","Debit","0.0","","$45.89",""
"Service","0.0","2009-12-21","10:06 PM","4 Runner","40746","","$0.000","0.000","$20.00","87","Kwik Trip","Decorah","At home","Debit","0.0","","$20.00","Oil Change"
"Gas","16.7","2009-12-20","3:49 PM","4 Runner","40700","Full","$2.499","15.581","$38.94","87","Kwik Trip","","","Debit","0.0","","$38.94",""
"Gas","17.7","2009-12-17","10:19 PM","4 Runner","40424","Full","$2.539","15.673","$39.79","87","Kwik Trip","","","Visa","0.0","","$39.79",""
"Gas","15.7","2009-12-06","5:25 PM","4 Runner","40178","Full","$2.629","16.014","$42.10","87","Kwik Trip","","","Visa","0.0","","$42.10",""
"Gas","17.4","2009-11-29","9:08 PM","4 Runner","39900","Full","$2.559","12.072","$30.89","87","Kwik Trip","","","Visa","0.0","","$30.89",""
"Gas","19.0","2009-11-29","9:53 AM","4 Runner","39671","Full","$2.559","19.434","$49.73","87","Kwik Trip","","","Visa","0.0","","$49.73",""
"Gas","18.4","2009-11-15","2:23 AM","4 Runner","39313","Full","$2.599","19.300","$50.16","87","Caseys","","","Visa","0.0","","$50.16",""
"Gas","16.3","2009-10-28","4:12 PM","4 Runner","38998","Full","$2.729","17.899","$48.85","87","Kwik Trip","","","Visa","0.0","","$48.85",""
"Gas","16.3","2009-10-19","5:16 PM","4 Runner","38707","Full","$2.569","17.408","$44.72","87","Kwik Trip","Decorah","","Visa","0.0","","$44.72",""
"Gas","19.9","2009-10-12","6:09 PM","4 Runner","38360","Full","$2.399","19.981","$47.93","87","Caseys","Decorah","","Visa","0.0","","$47.93",""
"Gas","16.3","2009-09-28","8:30 PM","4 Runner","38035","Full","$2.440","20.490","$50.00","87","Caseys","Decorah","","Visa","0.0","","$50.00",""
"Gas","16.3","2009-09-11","2:53 PM","4 Runner","37701","Full","$2.459","19.248","$47.33","87","Caseys","Decorah","","Visa","0.0","","$47.33",""
"Service","0.0","2009-09-01","4:52 PM","4 Runner","37389","","$0.000","0.000","$15.00","87","Kwik Trip","Decorah","At home","Visa","0.0","","$15.00","Oil Change"
"Gas","17.8","2009-08-27","8:18 PM","4 Runner","37358","Full","$2.529","18.464","$46.70","87","Kwik Trip","Decorah","","Visa","0.0","","$46.70",""
"Gas","17.6","2009-08-16","12:10 PM","4 Runner","37033","Full","$2.559","15.771","$40.36","87","Kwik Trip","Decorah","","Visa","0.0","","$40.36",""
"Gas","20.9","2009-08-13","11:00 PM","4 Runner","36703","Full","$2.589","12.508","$32.38","87","Kwik Trip","Decorah","","Visa","0.0","","$32.38",""
"Gas","17.7","2009-08-09","8:50 PM","4 Runner","36481","Full","$2.609","13.733","$35.83","87","Kwik Trip","Decorah","","Visa","0.0","","$35.83",""
"Gas","21.0","2009-08-02","1:13 PM","4 Runner","36192","Full","$2.589","14.650","$37.93","87","Kwik Trip","Decorah","","Visa","0.0","","$37.93",""
"Gas","17.4","2009-07-13","5:14 PM","4 Runner","35937","Full","$2.379","15.049","$35.80","87","Caseys","Decorah","","Visa","0.0","","$35.80",""
"Gas","18.5","2009-07-12","5:43 PM","4 Runner","35658","Full","$2.299","18.806","$43.23","87","Caseys","","","Visa","0.0","","$43.23",""
"Gas","18.6","2009-07-12","12:22 PM","4 Runner","35309","Full","$2.549","14.333","$36.53","87","Shell","North Platte","","Visa","0.0","","$36.53",""
"Gas","18.6","2009-07-11","6:02 PM","4 Runner","35042","Full","$2.499","15.287","$38.20","87","Phillips 66","Fort Collins","","Visa","0.0","","$38.20",""
"Gas","22.3","2009-07-10","2:44 PM","4 Runner","34701","Full","$2.689","16.300","$43.83","87","City Market","Pagosa Springs","","Visa","0.0","","$43.83",""
"Service","0.0","2009-07-09","10:05 AM","4 Runner","33434","","$0.000","0.000","$52.70","87","Conoco","Pagosa Springs Express Lube ","","Visa","0.0","","$52.70","Oil Change"
"Gas","20.9","2009-07-08","5:52 PM","4 Runner","34360","Full","$2.699","17.360","$46.85","87","Conoco","","","Visa","0.0","","$46.85",""
"Gas","19.7","2009-07-05","8:17 PM","4 Runner","34018","Full","$2.599","18.121","$47.10","87","Conoco","Westcliffe","","Visa","0.0","","$47.10",""
"Gas","22.1","2009-07-05","7:28 AM","4 Runner","33617","Full","$2.599","14.398","$37.42","87","Conoco","Westcliffe","","Visa","0.0","","$37.42",""
"Gas","23.1","2009-07-02","7:53 PM","4 Runner","33285","Full","$2.599","10.987","$28.56","87","Conoco","Westcliffe","","Visa","0.0","","$28.56",""
"Gas","18.5","2009-07-01","5:36 PM","4 Runner","33082","Full","$2.599","8.784","$22.83","87","Conoco","Westcliffe","","Visa","0.0","","$22.83",""
"Gas","17.9","2009-06-27","3:27 PM","4 Runner","32925","Full","$2.499","12.341","$30.84","87","","Colorado Springs","","Visa","0.0","","$30.84",""
